alpha,gamma,epsilon_decay,success_rate,avg_steps,episodes_to_converge
0.2,0.9,0.99,1.0,18.42,125.5
0.1,0.9,0.99,1.0,18.42,126.5
0.2,0.95,0.99,1.0,18.42,135.0
0.3,0.99,0.99,1.0,18.42,142.5
0.3,0.95,0.99,1.0,18.42,143.0
0.1,0.95,0.99,1.0,18.42,150.0
0.1,0.99,0.99,1.0,18.42,150.0
0.3,0.9,0.99,1.0,18.42,156.0
0.2,0.99,0.99,1.0,18.42,173.0
0.3,0.95,0.995,1.0,18.42,185.5
0.3,0.99,0.995,1.0,18.42,194.5
0.05,0.99,0.99,1.0,18.42,197.5
0.05,0.95,0.99,1.0,18.42,214.0
0.05,0.9,0.99,1.0,18.42,217.0
0.1,0.9,0.995,1.0,18.42,217.0
0.1,0.95,0.995,1.0,18.42,221.5
0.3,0.9,0.995,1.0,18.42,228.0
0.2,0.9,0.995,1.0,18.42,229.5
0.2,0.95,0.995,1.0,18.42,235.0
0.1,0.99,0.995,1.0,18.42,243.5
0.05,0.9,0.995,1.0,18.42,275.5
0.05,0.95,0.995,1.0,18.42,277.5
0.05,0.99,0.995,1.0,18.42,285.0
0.05,0.95,0.999,1.0,18.42,761.0
0.05,0.9,0.999,1.0,18.42,763.5
0.2,0.99,0.999,1.0,18.42,787.5
0.3,0.9,0.999,1.0,18.42,797.5
0.2,0.9,0.999,1.0,18.42,869.5
0.1,0.95,0.999,1.0,18.42,882.5
0.2,0.95,0.999,1.0,18.42,888.5
0.05,0.99,0.999,1.0,18.42,962.0
0.1,0.9,0.999,1.0,18.42,970.5
0.2,0.99,0.995,0.5,18.42,187.0
0.3,0.95,0.999,0.5,18.42,720.0
0.3,0.99,0.999,0.5,18.42,816.0
0.1,0.99,0.999,0.5,18.42,940.5
